地名,センター,焼却,プラ,ペットボトル類,缶類,びん,破砕,陶器,新聞・広告,雑誌・雑紙,段ボール
山田Ｂ地区 木川町（陽ノ丘、出屋敷、日光、新田、砂池、三つ池団地）,クリーンセンター,月 木,火1 火3 火5:3 5 8,水2,金4,金1,金3,水3,水1,金2,水4
山田Ｂ地区 草津町（エルシティ、ベルヴィ、湖都町、パールタウンなどエルシティ、ベルヴィ、湖都町、パールタウンなど）,クリーンセンター,月 木,火1 火3 火5:3 5 8,水2,金4,金1,金3,水3,水1,金2,水4
上笠地区 上笠町,クリーンセンター,月 木,水2 水4 水5:3 6 8,火1,火2,火3,金1,金4,金3,金2,火4
上笠地区 上笠一〜四丁目,クリーンセンター,月 木,水2 水4 水5:3 6 8,火1,火2,火3,金1,金4,金3,金2,火4
笠縫Ａ 集町,クリーンセンター,月 木,金2 金4 金5:10 4 7 9,火3,火4,水4,火1,水2,水3,火2,水1
笠縫Ａ 上笠五丁目,クリーンセンター,月 木,金2 金4 金5:10 4 7 9,火3,火4,水4,火1,水2,水3,火2,水1
笠縫Ａ 川原町（葉山川より北）,クリーンセンター,月 木,金2 金4 金5:10 4 7 9,火3,火4,水4,火1,水2,水3,火2,水1
笠縫Ａ 駒井沢町,クリーンセンター,月 木,金2 金4 金5:10 4 7 9,火3,火4,水4,火1,水2,水3,火2,水1
笠縫Ａ 下笠町,クリーンセンター,月 木,金2 金4 金5:10 4 7 9,火3,火4,水4,火1,水2,水3,火2,水1
笠縫Ａ 新堂町,クリーンセンター,月 木,金2 金4 金5:10 4 7 9,火3,火4,水4,火1,水2,水3,火2,水1
笠縫Ｂ 川原一〜四丁目,クリーンセンター,火 金,木1 木3 木5,水3,水4,水2,月4,水1,月2,月1,月3
笠縫Ｂ 川原町,クリーンセンター,火 金,木1 木3 木5,水3,水4,水2,月4,水1,月2,月1,月3
笠縫Ｂ 野村二丁目（11から23）,クリーンセンター,火 金,木1 木3 木5,水3,水4,水2,月4,水1,月2,月1,月3
笠縫Ｂ 野村三〜八丁目,クリーンセンター,火 金,木1 木3 木5,水3,水4,水2,月4,水1,月2,月1,月3
山田Ａ地区 北山田,クリーンセンター,月 木,水2 水4 水5:3 6 8,金3,金4,火2,火3,金2,火4,金1,火1
山田Ａ地区 木川町（県道交差点ケーズデンキ側）,クリーンセンター,月 木,水2 水4 水5:3 6 8,金3,金4,火2,火3,金2,火4,金1,火1
山田Ａ地区 御倉町,クリーンセンター,月 木,水2 水4 水5:3 6 8,金3,金4,火2,火3,金2,火4,金1,火1
山田Ａ地区 南山田町,クリーンセンター,月 木,水2 水4 水5:3 6 8,金3,金4,火2,火3,金2,火4,金1,火1
山田Ａ地区 山田町,クリーンセンター,月 木,水2 水4 水5:3 6 8,金3,金4,火2,火3,金2,火4,金1,火1
笠山地区 笠山一から八丁目,クリーンセンター,火 金,水2 水4 水5:3 6 8,月1,木4,月4,木2,木1,木3,月3,月2
笠山地区 笠山一から八丁目（横山ハイツ、コルボリウム南笠）,クリーンセンター,火 金,水2 水4 水5:3 6 8,月1,木4,月4,木2,木1,木3,月3,月2
玉川Ｂ地区 追分南二丁目（15から22番の一部（追分鴨田町内会））,クリーンセンター,火 金,水2 水4 水5:3 6 8,月3,木2,月2,木3,木4,月4,木1,月1
玉川Ｂ地区 桜ヶ丘一〜五丁目,クリーンセンター,火 金,水2 水4 水5:3 6 8,月3,木2,月2,木3,木4,月4,木1,月1
玉川Ｂ地区 野路町（ＪＲ東海道本線より国道1号側）,クリーンセンター,火 金,水2 水4 水5:3 6 8,月3,木2,月2,木3,木4,月4,木1,月1
玉川Ｂ地区 野路東一〜七丁目,クリーンセンター,火 金,水2 水4 水5:3 6 8,月3,木2,月2,木3,木4,月4,木1,月1
